Reports,TTP,Actor
 Threat actors use anti-forensic techniques to evade detection and reduce the amount of information available for forensic analysis. State-sponsored actors have used these techniques to cover their tracks during cyber espionage operations to prevent investigators from examining how data was taken and what specific information was stolen. A group's use of anti-forensic techniques can provide insight into a threat's overall methodology and targeting. ,['Fraud'],Sandworm Team
" A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. ","['Malware Propagation and Deployment', 'Doxing', 'Domain Registration_DNS Abuse and Manipulation', 'Ransomware', 'Domain Registration/DNS Abuse and Manipulation', 'Monetization and Laundering']",Sandworm Team
" FireEye iSIGHT Intelligence has historically observed state-sponsored actors, hacktivist collectives, and individuals routinely seek to influence or delegitimize election outcomes, collect intelligence, or cause disruption to the electoral process, and we assess with high confidence that actors will continue to target entities associated with elections. Although we have not observed direct evidence that actors have manipulated the electoral process in any major national or regional election by infiltrating the systems or hardware used to record or tally votes, the sheer complexity of these systems prevents us from categorically stating that these systems have not been successfully compromised. Based on FireEye data observed to date, cyber threat actors have primarily focused on targeting election commissions, political parties, and other organizations and assets with comparatively larger attack surfaces than voting systems. In comparing multiple examples of Chinese and Russian cyber threat activity targeting organizations associated with elections, FireEye iSIGHT Intelligence has observed only the latter selectively leak stolen data from intrusions to carry out information operations. Given instances of social media driven information operations and actors attempting to delegitimize the electoral process, preparing crisis communications playbooks to deal with potential scenarios can assist organizations in mitigating risks associated with targeting. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Communications', 'Network Reconnaissance', 'Malware Research and Development', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Pen Testing']",Sandworm Team
" Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage presents a high-frequency, moderate-intensity threat to telecommunications entities. We believe that this activity in part indicates a trend of state-sponsored attackers moving upstream to collect data on their intended targets. We assess with moderate confidence that financially motivated activity is a high-frequency threat, with potential impacts ranging from low to moderate intensity. Observed activity includes widely distributed malware, efforts to circumvent multi-factor authentication (MFA), sale of access to compromised company network infrastructure, ransomware and other extortion operations, and malicious insider incidents. Critical telecommunications infrastructure such as fiber optic cables may face kinetic attacks and tapping facilitated by physical proximity; other threats include interference with satellite communications, including GPS. Concerns have also been raised regarding state control over new infrastructure, namely 5G projects underway by Chinese companies such as Huawei, as it could allow for Chinese state influence over and insight into data flows. Mandiant Threat Intelligence assesses with high confidence that the telecommunications sector will be increasingly targeted by espionage actors seeking to compromise sensitive data while in transit and will likely continue to be targeted by financially motivated actors seeking sensitive personal and financial data. ",['No ttp provided'],Sandworm Team
" FireEye Threat Intelligence assesses with high confidence that cyber espionage continues to pose an occasional, moderate-intensity threat to Turkish government and commercial sector entities. In the past two years, we observed Russia-, China-, Iran-, and North Korea-nexus groups targeting Turkey, including critical infrastructure targeting. Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services. Observed activity includes targeted intrusions and opportunistic campaigns. Information operations by likely Iranian actors present a somewhat regular, low-intensity threat to Turkish audiences. Turkish information operations in support of international political objectives constitute an occasional and limited-intensity threat. Politically motivated hacktivists present a high-frequency, low-intensity threat to public and private sector entities in Turkey and beyond. Organizations operating in Turkey, particularly media outlets and non-governmental organization (NGOs), should be aware of surveillance, website blocking, and potential personnel detentions over online content critical of the Turkish Government. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Defacement', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'POS/ATM Malware/ATM Skimming', 'Domain Registration/DNS Abuse and Manipulation']",Sandworm Team
" Mandiant Threat Intelligence assesses with moderate confidence that multiple adversary countries support financially motivated cyber threat activity that facilitates desirable outcomes for both states and criminals implicitly, that is, by taking no action to prevent it, and complicating international law enforcement efforts to counter it. We have also observed limited examples of direct cooperative relationships between states and cyber criminals. Many industries face threats from both financially motivated and espionage actors, and the appropriation and use of cyber criminal tools by state actors, whether publicly available tools or those found in underground markets, can complicate attribution efforts by victims. States will continue to seek out ways to reduce development costs, bolster target reconnaissance, and obtain expertise, which includes leveraging cyber criminals through partnerships and recruitment efforts. As cyber criminals become more sophisticated, states will increasingly benefit from interaction with the cyber crime market. Absent binding international agreements targeting criminal activity, we assess with high confidence that state actors, such as Russia, China, North Korea (DPRK), and Iran, will continue to use all means at their disposal to achieve their strategic and operational objectives, including leveraging interactions with the cyber crime marketplace. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Network Reconnaissance', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Pen Testing']",Sandworm Team
" Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Defacement', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Malware Research and Development', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Fraud', 'Insider Threat']",Sandworm Team
" This report presents an overview of the cyber threat landscape in the Russian Federation, including political, legal and economic context underlying threats from cyber crime, hacktivist and cyber espionage actors. iSIGHT Partners considers Russia to be one of the most active sources of cyber threat activity in the world when taking into account the government censorship and propaganda regime, its epic cyber crime scene, a very high level of known and almost certainly additional unknown espionage activity and moderate, but probably growing, amount of hacktivist activity. ",['No ttp provided'],Sandworm Team
" Potential new U.S. sanctions targeting the Russian economy raise the risk of cyber operations targeting the reputation and operations of Western firms, especially in the mining, metals, railways, and shipping sectors. We are particularly concerned about the threat to railways, which Russia has increasingly targeted in Ukraine and against which it is encouraging unique research, probably to build a disruptive capability. These operations could punish the West by undermining its ability to prevent technology transfer, reduce the competitiveness of Western competitors to Russian firms, and even cause physical and economic damage to critical infrastructure in Western countries. While the proposed bill contains provisions to lighten sanctions on Russia if it demonstrates progress in fulfilling Minsk agreements or reducing its cyber operations, these are unlikely to happen soon. ",['No ttp provided'],Sandworm Team
" The use of indictments by the United States Justice Department against nation-state cyber operators has been increasing since 2014, but the effectiveness of this tactic depends on the context of the relationship between the U.S. and the nation. U.S. authorities have announced eight indictments against China-, Iran-, Russia-, and North Korea-nexus cyber threat actors since 2014. Indictments against Chinese threat actors have at least contributed to curbing Chinese cyber operations against the U.S. private sector, while those against Russia-, Iran-, and North Korea-nexus actors have likely had minimal, if any, effect. Since the desired effects are likely political and operational rather than legal, the future application of indictments depends on whether U.S. policymakers perceive the tactic to help deter state-nexus threat activity. ","['Social Engineering', 'Malware Propagation and Deployment', 'Network Reconnaissance', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development']",Sandworm Team
" Cyber espionage and disruptive/destructive attacks continue to pose the greatest threats to the oil and gas vertical. China-, Russia-, and Iran-nexus threat actors conduct extensive operations against this sector. The ongoing development of industrial control systems (ICS) exploitation practices and increasing tendency of threat actors to target critical infrastructure presents a significant and growing threat to the oil and gas industry. The cyber crime threat to oil and gas companies is moderate, with most observed activity appearing to be opportunistic targeting. Hacktivism is a moderate threat to the oil and gas industry and is primarily motivated by anti-establishment, anti-capitalist, and environmentalist ideologies. ","['Social Engineering', 'Malware Propagation and Deployment', 'Network Reconnaissance', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack']",Sandworm Team
" Ukraine is a primary target of pro-Russian cyber espionage entities . The ongoing conflict between Russia and Ukraine is one of the major drivers of this activity, and targets include government agencies and private companies. The major APT groups that we have noted targeting Ukrainian interests include Russia-based Sandworm, Tsar Team (APT28), TEMP.Monkey (APT29), and Turla; India-based Hangover Team; and Koala Team, TEMP.Beanie, TEMP.Noble, TEMP.Zhenbao, and an unknown Chinese group. Ukraine is a major host of cyber crime activity . This activity is performed by native Ukrainian entities and expatriate groups from Russia and other neighboring countries. Many of the factors that have made Russia a primary source of cyber crime (such as the high level of education, high unemployment rate, social norms that legitimize stealing from Western companies, and lack of attention by law enforcement) are also present in Ukraine. The country is a hotbed of credit card fraud rings and distributed denial-of-service (DDoS)-for-hire groups. Ukrainian hacktivists are very active, but mostly focused on Russia . Ukrainian hacktivists engage in activities ranging from website defacements, denial-of-service (DoS) attacks and social media account compromise to attempts to compromise their opponents' financial assets. We are confident that all of this activity will continue . It is highly unlikely that Ukrainian law enforcement will crack down on cyber crime given probable focus on other domestic priorities and that the ongoing conflict with Russia. ",['No ttp provided'],Sandworm Team
" Russian intelligence services likely have a close relationship with Russian cyber criminals, particularly those not engaged in activities targeting Russians. This relationship has been observed in the past in a variety of incidents involving cyber criminals apparently creating or customizing malware for use in Russia-nexus espionage operations. These cyber criminals operate with relatively low risk of arrest in Russia due to a combination of legal and practical restraints on police, including an inability to extradite criminals outside of Russia, limited cooperation with international law enforcement organizations, and limited resources for law enforcement leading to prioritizing of targeting actors whose activity directly affects Russians. While most of these limitations are practical, we speculate that Russian authorities also intentionally allow underground markets of actors targeting outside the country to flourish within Russia to have a pool of highly skilled actors and developers that authorities can requisition for use in potential espionage and cyber war operations. In addition to any dedicated work that these actors could perform for Russian cyber war efforts, it is likely that there are various ways that existing cyber crime malware, tools, and services in the underground could be used for disruptive, destructive, information warfare, and intelligence gathering operations. ","['Malware Propagation and Deployment', 'Malware Research and Development', 'Ransomware', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'Insider Threat']",Sandworm Team
" Cyber espionage campaigns targeting the Netherlands are motivated by strategic geopolitical interests and the acquisition of intellectual property. The cyber crime threat to the Netherlands is commensurate with that of a wealthy country with a technologically savvy populace. The country faces a wide range of threats including credential theft malware, distributed denial-of-service (DDoS) attacks and ransomware. iSIGHT Partners assesses that hacktivist activity poses a relatively low threat to entities in the Netherlands. Dutch entities have been targeted in opportunistic attacks as well as broad campaigns targeting Western and European enterprises generally. ",['No ttp provided'],Sandworm Team
" Mandiant Threat Intelligence suggests that cyber espionage and financially motivated targeting of Linux and MacOS systems in enterprise environments is limited, but we observed consistent use of non-Windows tools in the last two years. Although Linux systems are not targeted or exploited at the same scale as Windows devices, we assess with moderate confidence that cyber espionage actors are growing their capabilities against Linux and Mac operating systems, especially as multi-platform networks become more common. We also identified a proportionally small but dynamic market for Linux exploits in underground forums, suggesting that financially motivated actors maintain an active interest in Linux systems as well. ","['Malware Propagation and Deployment', 'Network Reconnaissance', 'Malware Research and Development', 'Exploit Development']",Sandworm Team
" The most prominent driver of cyber crime targeting the financial services sector are the funds and other directly valuable goods, such as investments, handled by these firms. The large volume of sensitive customer and employee data held by firms in the industry makes these entities valuable targets for both criminal and espionage actors. Mandiant Threat Intelligence assesses with high confidence that cyber espionage associated with North Korea, China, Russia, and Iran continues to pose a common threat to the industry for intelligence gathering, tracking of individuals, economic espionage, and other related motivations, with noticeable to large-scale impacts. We assess with high confidence that financial crime remains a near-constant threat to the industry with often significant outcomes. This activity encompasses a wide variety of activities including, but not limited to, fund theft, fraud and identity theft, loan fraud, and sale of internal network access. Ransomware also remains a prominent threat, with the integration of data theft extortion to many ransomware operations increasing the threat posed by these campaigns. ","['Malware Propagation and Deployment', 'Defacement', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Monetization and Laundering', 'Fraud']",Sandworm Team
" Mandiant Threat Intelligence assesses with high confidence that financially motivated actors pose a persistent threat to the financial services industry, and that financially motivated cyber crime has, in aggregate, had a serious impact on the sector. We have observed targeted intrusion activity against this sector from almost every financially motivated non-state threat group that Mandiant tracks, as well as ongoing activity from indiscriminate campaigns. We assess with high confidence that financial services also face a moderate frequency, very high-impact threat from state-sponsored actors motivated by traditional cyber espionage and financially motivated goals. We assess that activity undertaken by groups with links to North Korea is likely the most frequent and impactful; we have also recently observed activity from China-, Russia-, Iran-, Vietnam-, and India-nexus actors. We assess with moderate confidence that information operations are generally infrequent and generally have a low impact on the financial services sector. However, actors with a suspected state-nexus have affected financial institutions by using claimed leaks of financial information for political gain. Mandiant assesses with moderate confidence that global hacktivist campaigns will continue to be announced on a moderately frequent basis; however, most observed activity has taken the form of distributed denial-of-service (DDoS) attacks and website defacements, which generally have a low impact. ","['Social Engineering', 'Defacement', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'POS/ATM Malware/ATM Skimming', 'Monetization and Laundering', 'Fraud']",Sandworm Team
" FireEye Threat Intelligence assesses with high confidence that financially motivated cyber threat activity, especially ransomware, presents a high-intensity and high-frequency threat to regional governments and will likely continue to so for the foreseeable future. We assess with high confidence opportunistic hacktivist actors present a high-frequency (but low-impact) threat to regional government systems and will continue to do so for the foreseeable future. We assess with moderate confidence that cyber espionage presents an ongoing, moderate-intensity threat to regional government networks, as these systems often contain potentially valuable information, such as insight into major industries and military units operating within their jurisdictions. Additionally, regional governments often oversee elections, making them extremely attractive targets for espionage actors seeking to disrupt or discredit the electoral process. There are steps that can be taken to improve regional governments' security posture, such as appointing an overarching authority that has a mandate to ensure security for the entire system and is empowered to set and enforce cyber security standards for each sub-organization within the larger network. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Network Reconnaissance', 'Malware Research and Development', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Fraud']",Sandworm Team
" Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'POS_ATM Malware_ATM Skimming', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Hardware/Supply Chain Compromise', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'POS/ATM Malware/ATM Skimming', 'Monetization and Laundering']",Sandworm Team
" Russia has designated Anatoly Antonov, who has a significant background in arms control treaty negotiation, to be its new Ambassador to the United States starting Sept. 1. Antonov will likely arrive in D.C. with a mandate to promote election cyber security cooperation with the U.S. Government as a means of reducing U.S. reprisals that could encourage domestic unrest during the upcoming Russian presidential election in March 2018. Any agreement between Russia and the United States would likely be informal in nature and limited in scope. Russia may attempt to take advantage of U.S. leadership's desire to cooperate by gaining assurances that the U.S. will not attempt to interfere in the 2018 Russian presidential election. This might be achieved by agreeing not to interfere in the 2018 Congressional races. ",['No ttp provided'],Sandworm Team
" Cyber espionage and government-sponsored disruptive attacks pose a moderate threat to Romania. Romanian Government, military, and private sector institutions have been targeted by Russian, Chinese, and South Korean espionage groups. We believe that increasing tension between Russia and the West could potentially lead to an escalation in Russian activity. Moreover, given the established diplomatic relationship between Romania and the Democratic People's Republic of Korea, increased tensions between North Korea and the U.S. and its allies could lead to an uptick in cyber espionage activity originating from South Korea as well. Cyber criminals routinely compromise Romanian entities and present a moderate threat. We regularly observe multiple malware families targeting Romanian institutions, and have evidence the back-end system of a Romanian bank was compromised. Hacktivism remains a low threat to Romania. We continue to observe some hacktivist activity occasionally targeting Romanian entities, and we have observed a few Romanian individuals partaking in hacktivist incidents as well, including data leaks and distributed denial-of-service (DDoS) attacks. Romania's domestic cyber crime landscape includes virtually every type of criminal activity imaginable and poses a substantial threat to the international community. Although strong educational programs in technological fields and foreign languages have historically promoted the expansion of this activity beyond low-sophistication tactics into novel areas, we are seeing evidence that legislation targeting cyber crime may be having an impact on some Romanian cyber crime communities. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Network Reconnaissance', 'Malware Research and Development', 'Ransomware', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'POS/ATM Malware/ATM Skimming', 'Monetization and Laundering', 'Fraud', 'Insider Threat']",Sandworm Team
" Nord Stream 2 is a controversial gas pipeline project that is of strategic significance for Russia, and developments may motivate cyber espionage or information operations by Moscow. Most advanced Russia-nexus threat actors FireEye iSIGHT Intelligence observes have targeted energy companies and government agencies in the last several years. Potential targets of interest could include diplomats, policymakers, and executives at relevant government agencies, energy companies, and European Union (EU) and U.S. institutions. Project stakeholders are advised to stay alert for potential Russia-nexus cyber and information operations, particularly if unexpected hurdles emerge or actions are taken to stop the completion of the project. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Network Reconnaissance']",Sandworm Team
" Russia may be more motivated to pursue economically damaging cyber operations after the European Union-Ukraine Association Agreement entered into full force on Sept. 1, 2017. FireEye iSIGHT Intelligence has observed potential threat activity associated with Sandworm Team targeting the Ukrainian financial sector, such as the registration of finance-related Ukrainian web domains in 2017. ",['No ttp provided'],Sandworm Team
" Cyber espionage and disruptive/destructive attacks continue to pose the greatest threats to the aviation industry. Iran, Russia, and China have demonstrated the capability and willingness to conduct extensive reconnaissance activities necessary to carry out espionage campaigns as well as destructive and disruptive attacks on critical infrastructure and key resources associated with the aviation industry. Cyber criminals routinely compromise the aviation industry and present a moderate threat. The volume of ransomware detected by FireEye appliances throughout the aviation industry confirms this malware poses a serious concern. Hacktivist groups present an ongoing and moderate threat to the aviation industry. We expect various nation-state actors to maintain and expand their capacity to launch disruptive and destructive attacks. Some states, possibly including Russia and Iran, may seek to cause limited disruption to aviation services to demonstrate a deterrent capability. ",['No ttp provided'],Sandworm Team
" Cyber espionage continues to pose the greatest threat to the maritime shipping industry. Most of this activity emanates from China, although North Korean and Russian groups have also targeted the industry. Manipulation of cyber physical systems remains an ongoing and high threat to the shipping industry. Numerous cargo manipulation and navigational systems have been shown to be vulnerable to attack. Cyber crime continues to pose a moderate threat to the maritime shipping industry. We have observed numerous instances of business email compromise (BEC) targeting the industry, although little additional activity has been noted beyond indiscriminate campaigns that affect nearly every industry vertical. Hacktivist groups pose a low threat to the maritime shipping industry. Hacktivist activity affecting the industry has historically been directed at opportunistically selected targets, rather than at specific maritime shipping organizations or ports. ","['Social Engineering', 'Malware Propagation and Deployment', 'Network Reconnaissance', 'Malware Research and Development', 'Ransomware', 'Monetization and Laundering', 'Fraud', 'Pen Testing']",Sandworm Team
" Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. ","['Malware Propagation and Deployment', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Exploit Development', 'Monetization and Laundering']",Sandworm Team
" Mandiant assesses with high confidence that financially motivated cyber crime affecting Voice over Internet Protocol (VoIP) systems is relatively common. These systems are likely affected most often as part of opportunistic campaigns rather than actors specifically seeking VoIP access. While not a highly common threat at this time, Mandiant assesses with moderate confidence that both video and audio deepfakes, including real-time capabilities that are able to run on consumer devices, will become increasingly effective and available in the mid to long term. This availability and efficacy will likely incentivize actors to adopt the technologies more often into social engineering schemes, including attacks related to business email compromise (BEC) campaigns. VoIP infrastructure should be considered an extension of the attack surface, requiring monitoring, maintenance, and auditing like any other element. As such, high-level mitigation considerations for VoIP threats primarily revolves around the inclusion of VoIP systems in standard IT security best practices, and the consideration of more custom controls where necessary. ","['Social Engineering', 'Malware Propagation and Deployment', 'Communications', 'Man-in-the-middle-attack', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'Fraud']",Sandworm Team
" Mitigating the cyber risk by investing in prevention and response measures goes hand in hand with purchasing cyber insurance to minimize the amount of risk organizations simply accept. Cyber insurance covers much more than general liability insurance when it comes to costs stemming from a cyber incident, such as legal and investigative fees after a data breach, lost revenue from business interruption, and costs to third parties if their data were stolen, etc. Conducting a risk assessment before purchasing or renewing cyber insurance is helpful for customizing the policy. A risk assessment helps organizations determine what specific risks they want covered and what they can do to improve their security posture, which may result in increased insurance capacity and lower premiums. Many policies do not cover cyber incidents caused by a nation-state or terrorists, complicating the demand for accurate attribution. However, organizations that purposely avoid understanding why, how, and by whom their networks were penetrated open themselves up to similar cyber incidents in the future, potentially from the same actors. ",['No ttp provided'],Sandworm Team
" France has been repeatedly targeted by nation-state espionage groups, especially groups from China and Russia. Mandiant Threat Intelligence assesses with high confidence that intellectual property theft is a significant driver of espionage activity and is likely to continue based on past targeting and the value of French intellectual property, especially in the transportation, aerospace, and defense sectors. Based on France's influential role in major global institutions such as the North Atlantic Treaty Organization (NATO), the European Union (EU), and the United Nations (UN), we assess with high confidence that information operations constitute a moderate threat to France and will continue. We assess with high confidence that France will likely remain a target of financially motivated cyber threat activity for the foreseeable future given the country's relatively high level of wealth and widespread use of technology. Targeted intrusions generally deliver the most damage per incident, but French institutions and individuals are most frequently threatened by common widely distributed malware for account takeover operations. While hacktivism in France generally takes the form of low-sophistication distributed denial-of-service (DDoS) attacks and website defacements, we assess with moderate confidence that major hacktivist movements based on persistent social issues, such as #GiletsJaunes , present a moderate threat to French institutions. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'POS_ATM Malware_ATM Skimming', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Fraud']",Sandworm Team
" Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. ","['Web Application Attacks', 'Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Hosting', 'Defacement', 'POS_ATM Malware_ATM Skimming', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Monetization and Laundering', 'Fraud']",Sandworm Team
" Cyber espionage continues to pose the greatest threat to the media and entertainment industry. While North Korea, Russia, Iran, and China have demonstrated the capability and willingness to infiltrate this industry, North Korea and Russia have engaged in destructive operations. Cyber crime continues to pose an ongoing and moderate threat to the media and entertainment industry. Criminal actors targeting the media and entertainment industry are diverse, opportunistic, display a variety of sophistication levels, and use a wide variety of tactics, techniques, and procedures (TTPs). Hacktivist groups present an ongoing and moderate threat to the media and entertainment industry. Hacktivist groups targeting the industry are motivated by a variety of ideological and political rationales and have targeted various entities with varying levels of success, conducting defacements, distributed denial-of-service (DDoS) attacks, and data leaks. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Network Reconnaissance', 'Malware Research and Development', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Monetization and Laundering', 'Fraud', 'Pen Testing']",Sandworm Team
" Mandiant Threat Intelligence assesses with moderate confidence that state-sponsored activity poses a regular-frequency, moderate-intensity threat to the United Kingdom. The geopolitical and economic significance of the nation makes it an attractive target for state-sponsored threats seeking strategic intelligence to support their military, pollical, and economic objectives. We judge that information operations continue to pose a moderate-frequency, moderate-severity threat to the UK, and we have detected inauthentic coordinated social media networks supporting various state interests, including those of Russia and Iran. Mandiant assesses with moderate confidence that financially motivated threat activity poses a high-frequency, serious-intensity threat to the UK, and we continue to observe threat actors leverage ransomware and phishing sites as part of their campaigns. Hacktivists pose a rare, low-severity threat to the UK; however, notable events can potentially motivate these threats to conduct distributed denial-of-service (DDoS) attacks and data leaks, if provoked. ","['Social Engineering', 'Malware Propagation and Deployment', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Monetization and Laundering']",Sandworm Team
" Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. ","['Malware Propagation and Deployment', 'Domain Registration_DNS Abuse and Manipulation', 'POS_ATM Malware_ATM Skimming', 'Network Reconnaissance', 'Malware Research and Development', 'Ransomware', 'Enabling Infrastructures']",Sandworm Team
" North Korea would probably seek to use cyber operations not only to damage adversaries involved in an armed conflict, but to prevent other nations from providing support to their aggressors or to punish nations that do support United Nations Command efforts. North Korea could target civilians and the private sector in South Korea, the U.S., and elsewhere by employing ransomware, attempting to compromise human-machine interfaces (HMI) controlling critical infrastructure, or engage in hack-and-leak campaigns to undermine adversary morale. North Korea's cyber operations could be combined with electronic warfare to increase efficacy and deniability for civilian deaths, particularly those targeting aviation and other transportation industry targets. North Korea maintains the ability to interfere with the normal functioning of the financial system in South Korea and perhaps to cause at least limited disruption and reputation damage to the broader global financial system. We assess Pyongyang would seek to do so in a time of extended armed conflict, especially if regime stability is threatened. Beijing maintains the ability to restrict North Korean strategic cyber operations to some degree, but does not maintain effective control of Pyongyang's operations launched from China. ",['No ttp provided'],Sandworm Team
" Mandiant Threat Intelligence assesses with high confidence that cyber espionage presents a high-frequency, high-severity threat to the energy and utilities sectors. Espionage actors may target energy and utility entities in order to defend their economic interests by seeking information related to business operations, new processes and technologies, and mergers and acquisitions; they may also seek to target entities in these categories that constitute critical infrastructure for military or political advantage. We believe the energy and utilities sectors are at increased risk of disruptive and destructive threats, particularly from nation-state actors from Russia and Iran, who have demonstrated the capabilities and intent to conduct such attacks. We assess with high confidence that financially motivated threat activity poses a moderate-frequency, moderate-intensity threat to energy and utility companies. Disruptive financial threats, such as ransomware, pose a notable threat to critical infrastructure operations. Key threat drivers include efforts by nation-states to maintain regional and global trade dominance, develop sources of new energy, and undertake significant energy sector projects; threats are also likely affected by geopolitical tensions between Western nations, Russia, the Middle East, and other regions highly active in the energy sector. ",['No ttp provided'],Sandworm Team
