	Reports	Technique	Actor	textrank_extractive_summary	textrank_extractive_summary_time_taken
57	 Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. 	Initial Access: T1078 Valid Accounts	APT29	Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods.	0:00:00.023415
58	"Since at least 2009, a sustained campaign of intrusion activity attributed to ""Team Menupass"" has successfully targeted public and private systems in Japan and the United States through moderately sophisticated methods."	Initial Access: T1078 Valid Accounts	APT29	"Since at least 2009, a sustained campaign of intrusion activity attributed to ""Team Menupass"" has successfully targeted public and private systems in Japan and the United States through moderately sophisticated methods."	0:00:00.000706
59	 UNC2452 displays a substantial understanding of native Microsoft tools and cloud environments, allowing them to abuse product features to achieve and maintain access, despite strong authentication, without using specific vulnerabilities or frequently deploying custom malware. Mandiant assesses that UNC2452 will continue to pursue multiple creative ways to bypass strong authentication and target AD FS to pursue the capability to forge SAML tokens. UNC2452 will likely continue to adjust techniques as needed to avoid losing access to critical data such as email particularly data related to individuals involved in Russia and geopolitical affairs. 	Initial Access: T1190 Exploit Public-Facing Application	APT29	Mandiant assesses that UNC2452 will continue to pursue multiple creative ways to bypass strong authentication and target AD FS to pursue the capability to forge SAML tokens.	0:00:00.005692
60	 UNC2452 is a highly sophisticated Russian cyber espionage group active since 2018 that poses a substantial risk to Western governments, policy organizations focused on Russia, and IT services organizations, as the group frequently targets sensitive victim data, including emails and SharePoint files. UNC2452 is well-resourced and conducted multiple, large-scale compromises simultaneously in different time zones throughout 2020 and 2021. The group shares several overlaps with other Russian espionage groups, including APT29, such as targeting, heightened operational security, and a reliance on BEACON variants. We are also tracking possibly related activity involving phishing and targeting cloud service providers, that we assess may be related to UNC2452 based on varying degrees of general overlaps. We assess that UNC2452 will continue to operate at a significant operational tempo going forward, finding creative ways to access its targets, including leveraging trust relationships to target third parties. 	Initial Access: T1190 Exploit Public-Facing Application	APT29	 UNC2452 is a highly sophisticated Russian cyber espionage group active since 2018 that poses a substantial risk to Western governments, policy organizations focused on Russia, and IT services organizations, as the group frequently targets sensitive victim data, including emails and SharePoint files.	0:00:00.016408
61	 This report provides a high-level overview of the December 2020 SUNBURST supply chain compromise, including a timeline of events incorporating public reporting. Public reporting indicates the initial stages of the supply chain compromise stretched back more than a year and included significant testing and cleanup to remain undetected. The incident timeline demonstrates the sophistication and significant resources UNC2452 was able to leverage against government agencies, technology companies, consulting firms, and telecoms across the globe. 	Initial Access: T1078 Valid Accounts	APT29	Public reporting indicates the initial stages of the supply chain compromise stretched back more than a year and included significant testing and cleanup to remain undetected.	0:00:00.005063
62	 As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles. While financial or economic benefits are common incentives for targeting the transportation sector, military and political interests are also a driving factor. Contact your account manager for a high-resolution version of the graphic. 	Initial Access: T1190 Exploit Public-Facing Application	Koala Team	 As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles.	0:00:00.005460
63	 The cyber espionage threat to Australia is high, with most observed, attributable activity linked to China. The cyber crime threat to Australian entities is high, especially for financial institutions and their customers. A wide range of methodologies have been observed, with recent operations focused on distributing credential theft malware. The hacktivist threat to Australian entities is low, with moderate levels of activity causing limited impacts. 	Initial Access: T1190 Exploit Public-Facing Application	Koala Team	The cyber crime threat to Australian entities is high, especially for financial institutions and their customers.	0:00:00.005732
64	 Mandiant Threat Intelligence assesses with moderate confidence that the incidence of supply chain compromise is increasing and that the variety of motivations and actors attempting to leverage it has expanded. We believe that the number of supply chain compromises with a suspected financial motivation has increased overall and in proportion to suspected state-sponsored incidents. Mandiant has noted numerous examples of supply chain compromises that were introduced by malicious actors into third-party code repositories or other collaborative resources, as well as a few instances of malicious code being introduced by insiders, and devices shipped with malware pre-installed. We anticipate that supply chain compromises will continue to increase, given defender difficulty in detecting and preventing abuse of trusted channels, as well as attacker incentives including the efficiency gain of a single compromise potentially affecting many victims. 	Initial Access: T1195 Supply Chain Compromise	Koala Team	We believe that the number of supply chain compromises with a suspected financial motivation has increased overall and in proportion to suspected state-sponsored incidents.	0:00:00.010645
65	 Mandiant Threat Intelligence assesses with moderate confidence that Russia will conduct additional destructive or disruptive cyber attacks connected to the crisis in Ukraine. Russian cyber attacks almost certainly will focus first on Ukraine, with Western/NATO allies also being possible targets. NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment. Organizations making statements condemning Russian aggression and/or supporting Ukraine and organizations taking actions to restrict Russian participation in international commerce, competitions, and events face elevated risk of future reprisal. We assess that Sandworm and UNC2589 are two of the most likely actors to conduct cyber attacks in retaliation, although we judge that all high-profile Russian threat actors will continue or increase cyber espionage to enhance decision advantage against Ukrainian and NATO government targets. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment.	0:00:00.015584
66	 As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target telecommunications organizations. However, it is sometimes difficult to determine whether an actor only leveraged telecommunications infrastructure as a channel to indirectly target other sectors. Contact your account manager for a high-resolution version of the graphic. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	 As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group.	0:00:00.007524
67	 As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles. While financial or economic benefits are common incentives for targeting the transportation sector, military and political interests are also a driving factor. Contact your account manager for a high-resolution version of the graphic. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	 As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles.	0:00:00.005686
68	 Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. 	Initial Access: T1078 Valid Accounts	Sandworm Team	We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category.	0:00:00.006133
69	 Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category.	0:00:00.006073
70	 Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation.	0:00:00.017444
71	 U.S. citizens rely on elections technology, from online voter registration to voting machines. Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation. In this report, FireEye iSIGHT Intelligence analysts examine 10 representative technological threat vectors that could lead to altered election results. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation.	0:00:00.003877
72	 FireEye iSIGHT Intelligence defines Light Rail Transit (LRT) as a subcomponent of the Rail Transportation industry, focused on transporting passengers within urban or suburban areas by a vehicle on rail lines, including light rail trains, trams, and streetcars. LRT systems face potential threats from state-sponsored, financially motivated, hacktivist and terrorist-sympathetic adversaries. Insider threats are also relevant for rail transportation. Potential adverse outcomes of cyber threat activity include destruction of infrastructure, disruption of operations, economic loss, and reputational damage to the LRT system, and by extension, associated municipal or other authorities. The complex dynamics and interdependencies between different layers of rail transportation systems provide attackers with opportunities to perform attacks on a variety of different attack surfaces. The Industrial Internet of Things (IIoT) and the supply chain are among the most critical attack vectors. Third-party or external contractors in the supply chain represent risks to the integrity of the LRT system due to shared access to sensitive information and/or equipment required for the system's operation. However, proper precautions can mitigate the risks. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	Third-party or external contractors in the supply chain represent risks to the integrity of the LRT system due to shared access to sensitive information and/or equipment required for the system's operation.	0:00:00.030531
73	 Russia-, North Korea-, and Iran-nexus threat actors have demonstrated a willingness to conduct operations against the utilities industry in the last several years. We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry. Despite occasional hacktivist or disgruntled insider attacks, the current threat is low. Utilities, especially those invol v ed in electricity generation or transmission, should include geopolitical environment analyses when determining security strategies and investment priorities. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry.	0:00:00.007767
74	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.023813
75	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	Sandworm Team	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.025404
76	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.024115
77	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	Sandworm Team	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.024656
78	" FireEye Threat Intelligence predicts that high-profile events such as the 2020 Olympics and the upcoming elections in several nations will generate a variety of cyber threat activity, including state-sponsored campaigns, financially motivated activity, and information operations. Operations may include destructive or disruptive attacks. We anticipate that Russian actors will target the Olympics and elections in 2020; we warn that the potential for Iranian actors to conduct disruptive or destructive attacks is elevated; we expect the Belt and Road Initiative (BRI) to continue to drive Chinese state-sponsored activities; North Korean groups will likely continue to target financial institutions globally. We assess with high confidence that financially motivated actors continue to innovate and develop new tactics, techniques, and procedures (TTPs), including the use of ransomware delivered post-compromise. We expect the practice of stealing data prior to deploying ransomware will become more widespread. We assess with moderate confidence that third-party and supply-chain compromises are being leveraged with increasing frequency by both financially motivated and state-sponsored actors. We assess with high confidence that information operations will expand in scope and increase in sophistication, including the use of artificial intelligence (AI)-generated ""deepfake"" images. "	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	We assess with moderate confidence that third-party and supply-chain compromises are being leveraged with increasing frequency by both financially motivated and state-sponsored actors.	0:00:00.029914
79	 The cyber espionage threat to the telecommunications sector is high. FireEye iSIGHT Intelligence has observed more than 40 advanced threat actors that have conducted operations against telecommunications companies throughout Asia, Europe, North and South America, Africa, and Australia. Financially motivated cyber crime poses a high threat to telecommunications companies and their customers. Telecommunications companies are less frequently directly targeted by these actors, but often collaborate extensively with customers and law enforcement to mitigate criminal threats. Hacktivists constitute a moderate threat to the telecommunications sector. Motivations to target the sector include support of net neutrality, retaliation for perceived injustices, and promotion of nationalist themes. The sector must also consider its position as a key node in the overall critical infrastructure of most countries. Distributed denial-of-service (DDoS) attacks, physical sabotage, jamming, and supply chain attacks pose additional risks. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	Financially motivated cyber crime poses a high threat to telecommunications companies and their customers.	0:00:00.025823
80	 FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes .	0:00:00.014848
81	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. 	Initial Access: T1078 Valid Accounts	Sandworm Team	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations.	0:00:00.005824
82	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. 	Initial Access: T1078 Valid Accounts	Sandworm Team	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations.	0:00:00.006075
83	 FireEye Threat Intelligence assesses with high confidence that cyber espionage continues to pose an occasional, moderate-intensity threat to Turkish government and commercial sector entities. In the past two years, we observed Russia-, China-, Iran-, and North Korea-nexus groups targeting Turkey, including critical infrastructure targeting. Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services. Observed activity includes targeted intrusions and opportunistic campaigns. Information operations by likely Iranian actors present a somewhat regular, low-intensity threat to Turkish audiences. Turkish information operations in support of international political objectives constitute an occasional and limited-intensity threat. Politically motivated hacktivists present a high-frequency, low-intensity threat to public and private sector entities in Turkey and beyond. Organizations operating in Turkey, particularly media outlets and non-governmental organization (NGOs), should be aware of surveillance, website blocking, and potential personnel detentions over online content critical of the Turkish Government. 	Initial Access: T1078 Valid Accounts	Sandworm Team	Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services.	0:00:00.029961
84	 Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	 Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors.	0:00:00.046157
85	 Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks.	0:00:00.018245
86	 Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	 Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide.	0:00:00.023285
87	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry.	0:00:00.017558
88	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry.	0:00:00.017302
89	 Mandiant Threat Intelligence assesses with moderate confidence that state-sponsored activity poses a regular-frequency, moderate-intensity threat to the United Kingdom. The geopolitical and economic significance of the nation makes it an attractive target for state-sponsored threats seeking strategic intelligence to support their military, pollical, and economic objectives. We judge that information operations continue to pose a moderate-frequency, moderate-severity threat to the UK, and we have detected inauthentic coordinated social media networks supporting various state interests, including those of Russia and Iran. Mandiant assesses with moderate confidence that financially motivated threat activity poses a high-frequency, serious-intensity threat to the UK, and we continue to observe threat actors leverage ransomware and phishing sites as part of their campaigns. Hacktivists pose a rare, low-severity threat to the UK; however, notable events can potentially motivate these threats to conduct distributed denial-of-service (DDoS) attacks and data leaks, if provoked. 	Initial Access: T1195 Supply Chain Compromise	Sandworm Team	Mandiant assesses with moderate confidence that financially motivated threat activity poses a high-frequency, serious-intensity threat to the UK, and we continue to observe threat actors leverage ransomware and phishing sites as part of their campaigns.	0:00:00.015675
90	 Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. 	Initial Access: T1078 Valid Accounts	Sandworm Team	Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S.	0:00:00.015390
91	 Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. 	Initial Access: T1078 Valid Accounts	Sandworm Team	We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally.	0:00:00.009105
92	 Cyber espionage operations from Russia are highly active and effective, conducting aggressive campaigns against a wide variety of targets in line with Russian strategic and tactical interests. Russian information operations are actively used to influence foreign elections, political processes, and opinions regarding various issues. Financially motivated cyber crime operations conducted by Russian actors remain a significant threat to many organizations, particularly in Western countries. This activity has affected organizations ranging in size from small, local financial organizations to large, multinational corporations. Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government. 	Initial Access: T1190 Exploit Public-Facing Application	Sandworm Team	Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government.	0:00:00.012776
