Technique,Reports
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that Russia will conduct additional destructive or disruptive cyber attacks connected to the crisis in Ukraine. Russian cyber attacks almost certainly will focus first on Ukraine, with Western/NATO allies also being possible targets. NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment. Organizations making statements condemning Russian aggression and/or supporting Ukraine and organizations taking actions to restrict Russian participation in international commerce, competitions, and events face elevated risk of future reprisal. We assess that Sandworm and UNC2589 are two of the most likely actors to conduct cyber attacks in retaliation, although we judge that all high-profile Russian threat actors will continue or increase cyber espionage to enhance decision advantage against Ukrainian and NATO government targets. "
Initial Access: T1195 Supply Chain Compromise," As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target telecommunications organizations. However, it is sometimes difficult to determine whether an actor only leveraged telecommunications infrastructure as a channel to indirectly target other sectors. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1190 Exploit Public-Facing Application," As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles. While financial or economic benefits are common incentives for targeting the transportation sector, military and political interests are also a driving factor. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. "
Initial Access: T1190 Exploit Public-Facing Application," U.S. citizens rely on elections technology, from online voter registration to voting machines. Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation. In this report, FireEye iSIGHT Intelligence analysts examine 10 representative technological threat vectors that could lead to altered election results. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye iSIGHT Intelligence defines Light Rail Transit (LRT) as a subcomponent of the Rail Transportation industry, focused on transporting passengers within urban or suburban areas by a vehicle on rail lines, including light rail trains, trams, and streetcars. LRT systems face potential threats from state-sponsored, financially motivated, hacktivist and terrorist-sympathetic adversaries. Insider threats are also relevant for rail transportation. Potential adverse outcomes of cyber threat activity include destruction of infrastructure, disruption of operations, economic loss, and reputational damage to the LRT system, and by extension, associated municipal or other authorities. The complex dynamics and interdependencies between different layers of rail transportation systems provide attackers with opportunities to perform attacks on a variety of different attack surfaces. The Industrial Internet of Things (IIoT) and the supply chain are among the most critical attack vectors. Third-party or external contractors in the supply chain represent risks to the integrity of the LRT system due to shared access to sensitive information and/or equipment required for the system's operation. However, proper precautions can mitigate the risks. "
Initial Access: T1190 Exploit Public-Facing Application," Russia-, North Korea-, and Iran-nexus threat actors have demonstrated a willingness to conduct operations against the utilities industry in the last several years. We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry. Despite occasional hacktivist or disgruntled insider attacks, the current threat is low. Utilities, especially those invol v ed in electricity generation or transmission, should include geopolitical environment analyses when determining security strategies and investment priorities. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," FireEye Threat Intelligence predicts that high-profile events such as the 2020 Olympics and the upcoming elections in several nations will generate a variety of cyber threat activity, including state-sponsored campaigns, financially motivated activity, and information operations. Operations may include destructive or disruptive attacks. We anticipate that Russian actors will target the Olympics and elections in 2020; we warn that the potential for Iranian actors to conduct disruptive or destructive attacks is elevated; we expect the Belt and Road Initiative (BRI) to continue to drive Chinese state-sponsored activities; North Korean groups will likely continue to target financial institutions globally. We assess with high confidence that financially motivated actors continue to innovate and develop new tactics, techniques, and procedures (TTPs), including the use of ransomware delivered post-compromise. We expect the practice of stealing data prior to deploying ransomware will become more widespread. We assess with moderate confidence that third-party and supply-chain compromises are being leveraged with increasing frequency by both financially motivated and state-sponsored actors. We assess with high confidence that information operations will expand in scope and increase in sophistication, including the use of artificial intelligence (AI)-generated ""deepfake"" images. "
Initial Access: T1195 Supply Chain Compromise," The cyber espionage threat to the telecommunications sector is high. FireEye iSIGHT Intelligence has observed more than 40 advanced threat actors that have conducted operations against telecommunications companies throughout Asia, Europe, North and South America, Africa, and Australia. Financially motivated cyber crime poses a high threat to telecommunications companies and their customers. Telecommunications companies are less frequently directly targeted by these actors, but often collaborate extensively with customers and law enforcement to mitigate criminal threats. Hacktivists constitute a moderate threat to the telecommunications sector. Motivations to target the sector include support of net neutrality, retaliation for perceived injustices, and promotion of nationalist themes. The sector must also consider its position as a key node in the overall critical infrastructure of most countries. Distributed denial-of-service (DDoS) attacks, physical sabotage, jamming, and supply chain attacks pose additional risks. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1078 Valid Accounts," FireEye Threat Intelligence assesses with high confidence that cyber espionage continues to pose an occasional, moderate-intensity threat to Turkish government and commercial sector entities. In the past two years, we observed Russia-, China-, Iran-, and North Korea-nexus groups targeting Turkey, including critical infrastructure targeting. Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services. Observed activity includes targeted intrusions and opportunistic campaigns. Information operations by likely Iranian actors present a somewhat regular, low-intensity threat to Turkish audiences. Turkish information operations in support of international political objectives constitute an occasional and limited-intensity threat. Politically motivated hacktivists present a high-frequency, low-intensity threat to public and private sector entities in Turkey and beyond. Organizations operating in Turkey, particularly media outlets and non-governmental organization (NGOs), should be aware of surveillance, website blocking, and potential personnel detentions over online content critical of the Turkish Government. "
Initial Access: T1195 Supply Chain Compromise," Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. "
Initial Access: T1195 Supply Chain Compromise," Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that state-sponsored activity poses a regular-frequency, moderate-intensity threat to the United Kingdom. The geopolitical and economic significance of the nation makes it an attractive target for state-sponsored threats seeking strategic intelligence to support their military, pollical, and economic objectives. We judge that information operations continue to pose a moderate-frequency, moderate-severity threat to the UK, and we have detected inauthentic coordinated social media networks supporting various state interests, including those of Russia and Iran. Mandiant assesses with moderate confidence that financially motivated threat activity poses a high-frequency, serious-intensity threat to the UK, and we continue to observe threat actors leverage ransomware and phishing sites as part of their campaigns. Hacktivists pose a rare, low-severity threat to the UK; however, notable events can potentially motivate these threats to conduct distributed denial-of-service (DDoS) attacks and data leaks, if provoked. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. "
Initial Access: T1190 Exploit Public-Facing Application," Cyber espionage operations from Russia are highly active and effective, conducting aggressive campaigns against a wide variety of targets in line with Russian strategic and tactical interests. Russian information operations are actively used to influence foreign elections, political processes, and opinions regarding various issues. Financially motivated cyber crime operations conducted by Russian actors remain a significant threat to many organizations, particularly in Western countries. This activity has affected organizations ranging in size from small, local financial organizations to large, multinational corporations. Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government. "
Initial Access: T1078 Valid Accounts," Cyber espionage operations from Russia are highly active and effective, conducting aggressive campaigns against a wide variety of targets in line with Russian strategic and tactical interests. Russian information operations are actively used to influence foreign elections, political processes, and opinions regarding various issues. Financially motivated cyber crime operations conducted by Russian actors remain a significant threat to many organizations, particularly in Western countries. This activity has affected organizations ranging in size from small, local financial organizations to large, multinational corporations. Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that the incidence of supply chain compromise is increasing and that the variety of motivations and actors attempting to leverage it has expanded. We believe that the number of supply chain compromises with a suspected financial motivation has increased overall and in proportion to suspected state-sponsored incidents. Mandiant has noted numerous examples of supply chain compromises that were introduced by malicious actors into third-party code repositories or other collaborative resources, as well as a few instances of malicious code being introduced by insiders, and devices shipped with malware pre-installed. We anticipate that supply chain compromises will continue to increase, given defender difficulty in detecting and preventing abuse of trusted channels, as well as attacker incentives including the efficiency gain of a single compromise potentially affecting many victims. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence has uncovered additional domains registered for use in possible credential harvesting and spear-phishing campaigns. The domain names masquerade as Polish government entities, webmail portals, and other online services. This activity matches domain registration activity linked to UNC1151 credential harvesting campaigns. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence has uncovered additional domains registered for use in possible credential harvesting and spear-phishing campaigns. The domain names masquerade as Polish government entities, webmail portals, and other online services. This activity matches domain registration activity linked to UNC1151 credential harvesting campaigns. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence has identified new domains likely registered by Russia-nexus threat actors for phishing and credential harvesting activity. The registration patterns, naming schemes, use of the GoPhish phishing framework closely match previous Sandworm Team activity. This activity represents a risk to a wide range of organizations and individuals in Ukraine and Eastern Europe. Please see the Technical Annex for newly registered domains and mitigations and detections (MITRE ATT CK T1192). "
Initial Access: T1078 Valid Accounts," This report compiles recent cyber espionage activity uncovered by FireEye iSIGHT Intelligence. The activity below is recent, but it does not significantly alter our assessment of the threat landscape. Indicators of compromise (IOCs) are provided with minimal context to deliver them quickly to customers. This report includes activity from actors based in Russia and China. "
Initial Access: T1190 Exploit Public-Facing Application," The U.S. and UK Governments publicly reported that Sandworm Team has used a vulnerability in a Linux email application since at least August 2019. While we have not observed Sandworm using CVE 2019-10149, we have observed malicious activity related to the indicators provided in the reports. This activity represents a risk to traditional Sandworm Team targets like government agencies, and media and energy and utility entities. Please see the Technical Annex for relevant Snort rules and mitigations and detections (MITRE ATT CK T1032, T1064, T1089, T1027, T1068). "
Initial Access: T1078 Valid Accounts," MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) is a knowledge base and model for cyber adversary behavior. The ATT CK framework is divided into 11 tactics: initial access, execution, persistence, privilege escalation, defense evasion, credential access, discover, lateral movement, collection, exfiltration, and command and control. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK categories FireEye has seen used by Sandworm Team across FireEye Devices, Mandiant Incident Response, Managed Defense, and research. "
Initial Access: T1078 Valid Accounts," MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) for Industrial Control Systems (ICS) is a knowledge base and model for cyber adversary behavior against ICS. The ATT CK for ICS model is divided into 12 tactics: initial access, execution, persistence, privilege escalation, evasion, discovery, lateral movement, collection, command and control, inhibit response function, impair process control, and impact. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK for ICS categories Mandiant Threat Intelligence has seen being used by Sandworm Team. "
Initial Access: T1078 Valid Accounts," Threat Activity Reports relay historical and recent activities observed within the cyber threat environment whose relevance has become elevated by current circumstances. Activities continue to be monitored and may result in additional alerts or reports if anything significant occurs, or the issue warrants further analysis. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. "
Initial Access: T1195 Supply Chain Compromise," FireEye Threat Intelligence assesses with moderate confidence that malware-laden removable storage media, such as USB devices, remains the primary method threat actors use to gain access to air-gapped systems. We assess with low confidence that financially motivated exploitation of air-gapped systems is rare based on limited evidence of financially motivated interest in air-gapped systems, particularly ""cold"" cryptocurrency wallets. FireEye Threat Intelligence suggests that removable devices are introduced to air-gapped environments by insiders, both witting and unwitting, or individuals who obtain unauthorized physical access to a system, such as visitors. Although researchers have demonstrated novel methodologies to exfiltrate data from air-gapped systems, FireEye has not observed these means used in the wild. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," The cyber espionage threat to the telecommunications sector is high. FireEye iSIGHT Intelligence has observed more than 40 advanced threat actors that have conducted operations against telecommunications companies throughout Asia, Europe, North and South America, Africa, and Australia. Financially motivated cyber crime poses a high threat to telecommunications companies and their customers. Telecommunications companies are less frequently directly targeted by these actors, but often collaborate extensively with customers and law enforcement to mitigate criminal threats. Hacktivists constitute a moderate threat to the telecommunications sector. Motivations to target the sector include support of net neutrality, retaliation for perceived injustices, and promotion of nationalist themes. The sector must also consider its position as a key node in the overall critical infrastructure of most countries. Distributed denial-of-service (DDoS) attacks, physical sabotage, jamming, and supply chain attacks pose additional risks. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity is very common and has a serious impact on individuals and organizations living or operating in Latin America and the Caribbean. We have observed a wide variety of cyber crime activity in the region, ranging from detections of widely distributed malware families to targeted ransomware deployment. During the past several years we have noted Brazilian cyber crime actors expanding the geographic scope of their targeting to include the Americas and Europe. We also observed evidence of increased collaboration between the Brazilian cyber crime community and those of other Latin American countries, including Mexico and Peru. Both trends could increase the threat posed by regional actors as they gain access to additional resources and expertise. We assess with moderate confidence that cyber espionage currently presents a low-frequency, moderate-impact threat to entities in Latin America. Foreign policy shifts may lead to increased cyber espionage campaigns. "
